Time (CAT);Open;High;Low;Close;Volume 
03/08/2015 23:00:00;1.5584;1.56335;1.55576;1.55603;118289.65
04/08/2015 23:00:00;1.55609;1.5651;1.55258;1.5601;145422.73
05/08/2015 23:00:00;1.56014;1.56367;1.54666;1.55113;123862.14
06/08/2015 23:00:00;1.55111;1.55451;1.54245;1.54894;130604.48
09/08/2015 23:00:00;1.54868;1.56055;1.54581;1.55897;105222.8
10/08/2015 23:00:00;1.55897;1.5616;1.55549;1.55679;116502.59
11/08/2015 23:00:00;1.55685;1.56601;1.55339;1.56094;126884.67
12/08/2015 23:00:00;1.56101;1.56366;1.55735;1.56069;143301.34
13/08/2015 23:00:00;1.56075;1.56597;1.55886;1.56385;154449.43
16/08/2015 23:00:00;1.56526;1.5688;1.55788;1.55832;146854.04
17/08/2015 23:00:00;1.5583;1.57167;1.55621;1.56579;146609.92
18/08/2015 23:00:00;1.56575;1.57001;1.56349;1.56781;178282.18
19/08/2015 23:00:00;1.56782;1.57015;1.5606;1.56891;158874.34
20/08/2015 23:00:00;1.56891;1.57233;1.56577;1.56888;167441.86
23/08/2015 23:00:00;1.56765;1.58024;1.56302;1.57726;217478.75
24/08/2015 23:00:00;1.57735;1.58181;1.56809;1.56863;167102.66
25/08/2015 23:00:00;1.56867;1.57196;1.54523;1.54599;200696.72
26/08/2015 23:00:00;1.54598;1.55083;1.53698;1.54014;194907.74
27/08/2015 23:00:00;1.54013;1.54429;1.5335;1.53881;153294.37
30/08/2015 23:00:00;1.54102;1.54368;1.53392;1.5343;108286.8
31/08/2015 23:00:00;1.53429;1.54074;1.52997;1.53024;146447.75
01/09/2015 23:00:00;1.53027;1.53254;1.52639;1.52981;139461.42
02/09/2015 23:00:00;1.52979;1.53129;1.52189;1.52555;122958.12
03/09/2015 23:00:00;1.52568;1.52737;1.51639;1.5165;114242.14
06/09/2015 23:00:00;1.51766;1.52882;1.51712;1.52704;131374.43
07/09/2015 23:00:00;1.52704;1.54121;1.52698;1.53932;126700.78
08/09/2015 23:00:00;1.53923;1.54043;1.53496;1.53661;123923.44
09/09/2015 23:00:00;1.53669;1.54754;1.53386;1.54431;155975.09
10/09/2015 23:00:00;1.54431;1.54615;1.53998;1.54263;116553.23
13/09/2015 23:00:00;1.543;1.54708;1.53728;1.54254;106978.01
14/09/2015 23:00:00;1.5426;1.54568;1.53295;1.53427;110616.85
15/09/2015 23:00:00;1.53431;1.55282;1.53299;1.54892;128703.78
16/09/2015 23:00:00;1.54887;1.56276;1.54859;1.55891;141670.67
17/09/2015 23:00:00;1.559;1.56585;1.55138;1.55223;153753.55
20/09/2015 23:00:00;1.55217;1.55677;1.54805;1.55054;121999.94
21/09/2015 23:00:00;1.55054;1.55288;1.53404;1.53621;129756.63
