Time (CAT);Open;High;Low;Close;Volume 
17/07/2017 23:00:00;2170.3;2393.8;2143.6;2347.5;400510
18/07/2017 23:00:00;2347.8;2394.4;2216;2255;340358
19/07/2017 23:00:00;2255;2728.8;2241.7;2728.7;343514
20/07/2017 23:00:00;2729.8;2773;2612.8;2625;0
23/07/2017 23:00:00;2784.8;2801.9;2719.7;2760;259174
24/07/2017 23:00:00;2760;2777.3;2449.8;2466.6;329780
25/07/2017 23:00:00;2467.2;2609.4;2402.6;2503;302142
26/07/2017 23:00:00;2502.9;2596.7;2449.3;2583.6;277550
27/07/2017 23:00:00;2583.6;2833;2583.4;2754.3;372096
30/07/2017 23:00:00;2759.5;2890;2678.2;2885.4;392112
31/07/2017 23:00:00;2888.8;2923.9;2637.9;2742.9;502162
01/08/2017 23:00:00;2737.8;2757;2667.3;2691;364044
02/08/2017 23:00:00;2691;2803.6;2648.9;2780.3;324382
03/08/2017 23:00:00;2780.4;2877.1;2761.3;2832;297538
06/08/2017 23:00:00;3264.6;3422.6;3190.9;3340.3;295914
07/08/2017 23:00:00;3340.5;3486.6;3339.2;3447.3;357886
08/08/2017 23:00:00;3447.3;3453.5;3236.7;3361.7;430420
09/08/2017 23:00:00;3369.5;3457;3298.8;3424.5;322546
10/08/2017 23:00:00;3424.5;3588.3;3403.8;3587.9;244458
13/08/2017 23:00:00;4010.1;4340.6;3978;4263;355638
14/08/2017 23:00:00;4263;4449.9;3807.5;4071.6;404884
15/08/2017 23:00:00;4071.6;4351.8;4057;4348.7;95676
16/08/2017 23:00:00;4323.9;4476.3;4179.3;4328.4;242522
17/08/2017 23:00:00;4326;4357.2;4189.6;4300.4;99672
20/08/2017 23:00:00;4117.8;4149;3964.1;3996.6;284604
21/08/2017 23:00:00;3774.8;4141.3;3770.6;4073;282346
22/08/2017 23:00:00;4073;4259.9;4003.3;4134.4;300156
23/08/2017 23:00:00;4134.4;4255.9;4089.1;4234;307324
24/08/2017 23:00:00;4234;4453;4217.3;4329;288676
27/08/2017 23:00:00;4359.6;4363.1;4185.7;4339.5;285552
28/08/2017 23:00:00;4339.3;4641.7;4339.1;4597;292272
